text,label
"Ұйымдастырушылардың айтуынша, жобаның қорытындысы келесі жылдың қазан айында шығарылады. Оған дейін жоба аясында түрлі басқосулар, насихат және дәріптеу шаралары, ұлттық киімдер фестивалі өтеді. Семинарға қатысқан қолөнер шеберлері, дизайнерлер, тігін шеберханаларының өкілдері мен ұлттық киім мен тұрмыстық заттарымызды кәсіпке айналдырған азаматтар «қазақ қоғамында қазына-байлығымызды бағалау неге төмен?» деген сауалға айтар өз пайымдарын жеткізді.",0
"Тәуелсіз Қазақстанның дүниеге келуінің ұлы шежіресі бірқатар тарихи кезеңдерден тұрады: 1990 жылдың сәуірі – Республика Президенті лауазымын тағайындау, 1990 жылдың қазаны – Қазақстанның тәуелсіздігі туралы декларация, 1991 жылдың тамызы – Семей ядролық сынақ полигонының жабылуы және Республикалық егемен алтын-валюта қорын құру, 1991 жылдың желтоқсаны – алғашқы бүкілхалықтық президенттік сайлау, мемлекетіміздің жаңа атауы туралы шешім қабылдау, 16 желтоқсан – «Қазақстанның мемлекеттік тәуелсіздігі туралы» конституциялық заңды қабылдау, 1993 жылдың 15 қарашасы – ұлттық валютаны және қаржы жүйесін енгізу.",0
"Қазақ жерінде ол кездегі экономиканың негізін мешеу қалған экстенсивті ауыл шаруашылығы құраған болатын. Жерді пайдалану ол кезде 1891 ж. 25 наурызда патша бекіткен Далалық ереже бойынша жүргізілді. 1893 ж. күшіне енген бұл ереженің 119-бабында өлкедегі барлық жерлер мен орман-сулар мемлекет меншігі деп жарияланды. Ал осы ереженің 120-бабы бойынша көшпенділер жайлап жүрген жерлер олардың қауым болып пайдалануына шектеусіз мерзімге қалдырылды. Қазақтар өз жерін бұрынғы әдет-ғұрпынша және аталған ереженің ұйғарымына сәйкес пайдаланады деп шешілген болатын. Бірақ патша жарлығында қазақ шаруаларына (ол бүкіл халыққа деген сөз) тиімсіз, тіптен зардабы өте зиянды бір ереже бар еді. Ол көшпенділерден артық қалған жерлер. Жер және мемлекеттік мүлік министрлігінің қарамағына көшеді деген қағида болатын. Міне, осы ереже бойынша қазақ жерлері ғасырымыздың басынан бастап бірінші дүниежүзілік соғыс басталғанға дейін отарлық талан-тараждың жаңа сатысына ілікті.",0
"25.05.2017 жыл Ақтөбе облысының әділет департаменті ғимаратында дөңгелек үстел БАҚ-пен ұйымдастырылды. Аталған іс-шараға АО «Трансэнерго» заң бөлімінің басшысы Мухтарова Гульжанат Серикбаевна, жеке сот орындаушыларының төрағасының орынбасары Эбуов Талгат Муналбаевич, АО «Трансэнерго» маркетинг және өткізу басқармасының орынбасары Кисыков Ерболат Аканович, ТОО «Актобеэнергоснаб» кеңесшісі Аймаков Максат Бтуажаулы, АО «Акбулак» заң бөлімінің м.а. Сермаханова Диляра Баянгалиевна, АО «КазТрансГаз Аймақ» заң бөлімінің м.а. Нурмаганбетова Джамила Уреновна, сот орындаушы Калжанова Бахытгуль. Дөңгелек үстел аясында «100 нақты қадам Ұлт Жоспарының» 27 бабын жүзеге асыру, сондай – ақ мемлекеттік сот орындаушыларды кезең-кезеңмен қысқарту және жеке сот орындаушылар институтын дамыту мақсатында сұрақтар бойынша талқыланды. 2016 жылдың 01 сәуірінен бастап, республика аумағында, мемлекеттік сот орындаушылардан жеке сот орындаушылардың мәжбүрлеп орындауына атқару парақтарын беру бойынша белсенді жұмыс жүргізілуде.",0
"«Болып жатқан оқиғаның барлығы Алла Тағаланың құдіретімен. Бірінші қолына шыққан «Бисмилләһир – рахманир- рахим» деген жазу «Аса қамқор, ерекше мейірімді Алланың атымен бастаймын» деген мағынада. Ал аяқтан шыққан «Аллаху акбар» деген жазудың мағынасы – «Алла ұлық». Мұның ешбір зияны жоқ. Бұл Алланың бізге көрсетіп жатқан құдіреті. Аспанда, бұлттарда, жұмыртқа мен қойдың үстінде мұндай жазулар пайда болған жағдай болған. Алайда адамның денесінде пайда болғаны Қызылорда, жалпы Қазақстан бойыша алғаш рет болып отыр», – дейді Руслан Мамонов.",0
"Әйелдің күйеуіне сүйкімді көрінуі де маңызды. Бұл міндет шариғатта әйел адамға уәжіп деп айтылған. Пайғамбарымыз (с.а.у.): «Мұсылман жақсы көреді, өзі де жақсы көріледі. Жақсы көрмеген және жақсы көрілмеген адамдарда қайыр жоқ»[2], – деп айтқан. Келесі хадисінде: «Жақсы көрген, жақсы көрілген және көп бала туатын әйелге үйленіңдер»[3] – деп, өз ұнамдылығын жоғалтпай, сүйкімділігін сақтай білетін әйелге үйленуді өсиет еткен.",0
"«Бюджеттің ашықтығы және есеп беруі тиіс екені Елбасының бес институционалдық реформасының бір бағытында айқын айтылған. Осыған орай азаматтық қоғам өкілдерінің өңірлердегі бюджет қаржысын талқылауға қатысуы өзекті мәслелердің бірі болып отыр. Бұл бұрыннан бері әлемде кеңінен қолданылатын процесс. Тіпті бюджеттің ашықтық деңгейі 109 критерий бойынша анықтайтын Open budjet арнайы рейтингісінде 2017 жылы Қазақстан көрсеткіші 100-ден 53 балды құрады. Ол әлемнің орта деңгейінен сәл-ақ жоғары. Бұл Үкіметтің қоғамда ел бюджеті жайында ақпаратты әлі де толыққанды ұсынбайтынын көрсетеді», - деді сенатор.",0
"Әлеуметтанудың шығуына екінші бір үлкен себеп болған оқиға, ол О.Конттың өзі ашқан еңбектің бөлінуі және оны кооперациялау туралы заң болды. Бұл фактілердің адамзат қоғамының тарихында үлкен маңызы болды, өйткені бір жағынан осылардың негізінде қоғамда әлеуметтік және маманданған топтар пайда болды, қоғамда адамдардыің әл-ауқаты, материалдық тұрмыс жағдайы біршама жақсара бастады. Екінші жағынан, бүл факторлар қоғамға кері әсер етті, өйткені бұлар байлықтардың бір қолға, немесе кішігірім топтардың қолына жиналуынан әкелді, сөйтіп қанаушылыққа жол берді. әлеуметтік сезім бір мамандықтағы адамдарды топтастырады. Осыған орай адамдардың түрлі корпоративтік эгоистік мораль пайда болады. Ал, осылар бақылаудан шығып кетсе, онда қоғамның негізі болатын адамдардың арасындағы ынтымақтастық және келісім бұзылатын болды. О.Конттың пікірінше, осы адамдардың арасындағы ынтымақтастықты, келісімді тек әлеуметтану ғылымы реттеп отырады.",0
"Айта кетелік жайт, Башқұртстанда үстіміздегі жылдың желтоқсанында өтетін IV Халықаралық «Күміс Ақбозат» кинофестивалінің ашылу салтанаты «Оралман» фильмімен ашылады. Естеріңізге сала кетсек, «Оралман» көркем фильмі осы жылдың басында Иранның астанасы Тегеранда өткен 35-ші халықаралық Фаджр кинофестивалі мен XIII Халықаралық «Еуразия» кинофестивалінің Бас жүлдесін жеңіп алған болатын. Фильмде басты рөлді сомдаған актер Дулыға Ақмолда қыркүйек айында Татарстанда өткен XIII Халықаралық мұсылмандар киносы фестивалінде «Үздік ер адам рөлі» жүлдесімен марапатталды. Сондай-ақ, картина Италияда өткен ХХ Халықаралық «Religion Today» кинофестивалінде «Үздік фильм» номинациясында жеңіске жетіп, тәуелсіз SIGNIS қазылар алқасының арнайы жүлдесін иемденді.",0
"9.«И», «я», «ю» әріптері жобаға кірмеді. Бұл жобаны енгізу барысында соңғы 50 жылда жасалған қазақ емлесіне қайшы келіп жүрген қателіктер түзетілуі тиіс. Мысалы «сою» сөзі оның түбірінен таратылып «сой» + «ыу» = «сойыу» болып өзгертіліп «soіyu» болып аударылуы керек. Сол сияқты «суса», «сиыр», «мая», «ою» сөздері сәйкесінше «swusa», «syіyr», «maіa», «oіyu» болып аударылуы керек.",0
