text,label
"Опубликован календарь футбольного сезона в Казахстане Сезон стартует 1 марта матчем за Суперкубок между ""Астаной"" и ""Кайратом"". Профессиональная футбольная лига Казахстана опубликовала календарь первого этапа премьер-лиги сезона 2015 года, а также Кубка Казахстана, сообщает корреспондент Vesti.kz.Напомним, что футбольный сезон в Казахстане стартует 1 марта матчем за Суперкубок между столичной ""Астаной"" и алматинским ""Кайратом"".Календарь первого этапа премьер-лиги сезона 2015 года:1 марта (воскресенье)Суперкубок Республики КазахстанАстана - КайратПервый этапПервый кругI турКайрат - ТоболКайсар - ЖетысуАстана - ОкжетпесОрдабасы - ИртышТараз - ШахтерАктобе - АтырауII турАктобе - КайратАтырау - ТаразШахтер - ОрдабасыИртыш - АстанаОкжетпес - КайсарЖетысу - ТоболIII турАстана - ШахтерКайрат - ЖетысуТобол - ОкжетпесКайсар - ИртышОрдабасы - АтырауТараз - АктобеIV турТараз - КайратАктобе - ОрдабасыАтырау - АстанаШахтер - КайсарИртыш - ТоболОкжетпес - ЖетысуV турКайрат - ОкжетпесЖетысу - ИртышТобол - ШахтерКайсар - АтырауАстана - АктобеОрдабасы - ТаразVI турОрдабасы - КайратТараз - АстанаАктобе - КайсарАтырау - ТоболШахтер - ЖетысуИртыш - ОкжетпесVII турКайрат - ИртышОкжетпес - ШахтерЖетысу - АтырауТобол - АктобеКайсар - ТаразАстана - ОрдабасыVIII турАстана - КайратОрдабасы - КайсарТараз - ТоболАктобе - ЖетысуАтырау - ОкжетпесШахтер - ИртышIX турКайрат - ШахтерИртыш - АтырауОкжетпес - АктобеЖетысу - ТаразТобол - ОрдабасыКайсар - АстанаКубок Республики Казахстан, 1/8 финалаХ турКайсар - КайратАстана - ТоболОрдабасы - ЖетысуТараз - ОкжетпесАктобе - ИртышАтырау - ШахтерХI турКайрат - АтырауШахтер - АктобеИртыш - ТаразОкжетпес - ОрдабасыЖетысу - АстанаТобол - КайсарВторой кругХII турКайрат - АктобеТараз - АтырауОрдабасы - ШахтерАстана - ИртышКайсар - ОкжетпесТобол - ЖетысуКубок Республики Казахстан, 1/4 финалаХIII турЖетысу - КайратОкжетпес - ТоболИртыш - КайсарШахтер - АстанаАтырау - ОрдабасыАктобе - ТаразХIV турКайрат - ТаразОрдабасы - АктобеАстана - АтырауКайсар - ШахтерТобол - ИртышЖетысу - ОкжетпесКубок Республики Казахстан, 1/2 финала, первые матчиХV турОкжетпес - КайратИртыш - ЖетысуШахтер - ТоболАтырау - КайсарАктобе - АстанаТараз - ОрдабасыХVI турКайрат - ОрдабасыАстана - ТаразКайсар - АктобеТобол - АтырауЖетысу - ШахтерОкжетпес - ИртышХVII турИртыш - КайратШахтер - ОкжетпесАтырау - ЖетысуАктобе - ТоболТараз - КайсарОрдабасы - АстанаХVIII турКайрат - АстанаКайсар - ОрдабасыЖетысу - АктобеТобол - ТаразОкжетпес - АтырауИртыш - ШахтерХIХ турТараз - ЖетысуАстана - КайсарАтырау - ИртышШахтер - КайратОрдабасы - ТоболАктобе - ОкжетпесХХ турТобол - АстанаОкжетпес - ТаразШахтер - АтырауКайрат - КайсарИртыш - АктобеЖетысу - ОрдабасыХХI турТараз - ИртышАстана - ЖетысуКайсар - ТоболАктобе - ШахтерОрдабасы - ОкжетпесАтырау - КайратХХII турОкжетпес - АстанаТобол - КайратЖетысу - КайсарИртыш - ОрдабасыШахтер - ТаразАтырау - Актобе*- Окончательная версия календаря с датами матчей будет сформирована в ближайшее время с учетом пожеланий телевизионных вещателей.",0
"Коло дооруна саякат Костанай облусунун Лисаковск шаарында байыркы технологиялар менен маданий коммуникациялардын I эл аралык фестивалы өттү. Ал жерде коло доорундагы адамдардын турмуш-тиричилигинде колдонулган буюмдары көпчүлүктүн назарына сунушталды. Коло доорундагы уруулардын көптөгөн турактары менен эстеликтери ушул аймактан табылган. Отуз жыл мурун башталган казуу иштери азыркыга чейин уланып келет. ШЫНАР ЕРМАГАНБЕТОВА, ЛИСАКОВ ЖОГОРКУ ТОБЫЛ ТАРЫХ ЖАНА МАДАНИЯТ МУЗЕЙИНИН МҮДҮРҮ: - Курдагы алтын биздин алтынга окшобойт. Бул башка жерден, башка өлкөдөн алып келинген зат. Ошондуктан бул буюмдарга карап айта турган болсок, албетте өлкөлөрдүн ортосунда соода байланышы болгон. ЭММА УСМАНОВА, ЛИСАКОВСК АРХЕОЛОГИЯЛЫК ЭКСПЕДИЦИЯСЫНЫН ЖЕТЕКЧИСИ: - Лисаковск сыяктуу кичинекей шаар үчүн ушундай музейдин болгону жакшы көрүнүш. Экинчиден, мындай иш-чаралардын туризм багыттагы мааниси жогору. Илимий агартуучулук жана туристтик мааниси бар. Коло доорундагы уруулардын күнгө сыйынуу жөрөлгөсү. Темир иштеткен, өндүрүштү өздөштүрүп, эгин эгип, дыйканчылыкты үйрөнө баштаган байыркы адамдардын күнгө, отко сыйынуусу түшүнүктүү жагдай, дейт изилдөөчүлөр. Дал ошол 4 миң жыл мурун коло доорунда колдонулган меш.Үйлөгүч менен үйлөгөн кезде ысыктыгы 1500 градуска чейин жеткен. Ушул меште колону ээритүү аркылуу, аны калыпка куюп, жебенин учун жана башка курал-жарактарды жасашкан. Фестивалда токума кездеменин кандай даярдалгандыгы иш жүзүндө көрсөтүлдү. Көпчүлүккө белгисиз болгон, илгертен келе жаткан ырым-жырымдар да айтылды. АЙМАН КАДЫРХАНОВА, ЛИСАКОВ ЖОГОРКУ ТОБЫЛ ТАРЫХ ЖАНА МАДАНИЯТ МУЗЕЙИНИН ИЛИМИЙ КЫЗМАТКЕРИ: - Негизи кийиз жасаганда көп сүйлөгөн келиндер кошулчу эмес. Себеби, жанагы тили узун келин болсо, кийиз жасалган кезде бир чети узун болуп калат дешкен. Ачык асман алдында өткөн тарыхый иш-чарага келгендер ошол кездеги кийимдерди кийип, куралдарды колго алып көрүү мүмкүнчүлүктөрүнө ээ болушту. Уюштуруучулар ушундай фестивалды салттуу түрдө өткөрүп турууну көздөшүүдө. Subscribe for our daily news",0
"2,5 миңден ашуун социалдык долбоорго каржылай колдоо көрсөтүлдү Жаштар жылында казакстандык жарандардын коомдук жигердүүлүгүн жана жарандык жоопкерчилигин жогорулатууга артыкчылык берилүүдө. Бул максатта, «Zhas Project» долбоору ишке ашырылып жатат. Программа алкагында социалдык долбоорлорду колдоого 1 миллион теңгеге чейин грант бөлүнөт. Ошондой эле, демилге алкагында катышуучуларга ишкерлик жүргүзүүнүн сыралары үйрөтүлүп, ай сайын берилүүчү стипендия дайындалат. Быйыл «Zhas Project» долбоору Алматы, Нур-Султан шаарлары менен Акмоло, Маңгыстоо, Атырау жана Батыш Казакстан аймактарынын жаштарын камтып жатат. Жалпысынан, үч жылдын ичинде өлкөнүн бардык аймактарында тогуз миңден ашуун жигердүү иш-чара өткөрүлүп, 2679 социалдык долбоор каржыланды. Мыктылары борбордо өткөн көргөзмөдө тааныштырылды. МАКСАТ ӨТЕПБЕРГЕНОВ, ДОЛБООРДУН КАТЫШУУЧУСУ: - Биз кол өнөрчүлүк менен алектенген казактын улуттук өнөрүн жандандыруу үчүн жана аны түзүү жүрүшүндө заманбап каражаттарды колдонуу үчүн команда түздүк. Долбоордон бөлүнгөн каржыны биз түзмөктөрдү алууга жумшадык. Суроо-талап абдан көп, музыкалык аспаптарга эми өтүп жатабыз. Домбра, кобыз сыяктуу улуттук аспаптарды жасоого аракет кылабыз . Фото: zhaikpress.kz Subscribe for our daily news",0
"Италияның оңтүстігінде орман өртенді Италияның оңтүстігіндегі Кампaния аймағында бір апта бұрын басталған орман өрті ырық берер емес. Лаулаған қызыл жалыннан Везувий жанартауы оянып, түтіндеп жатқандай әсер қалдырады. Бірақ өртеніп жатқан – тау етегіндегі орман. Апат аймағындағы елді мекендерден тұрғындар мен саяхатшыларды қауіпсіз жерге көшіру басталды. Тілсіз жаумен күресуге ұшақтар пайдаланылып жатыр. Алайда өртті ауыздықтауға ауа райының ыстық болуы кедергі болып тұр. Полиция отты қасақана қойған деп күдіктеніп отыр.",0
"Жапонияда «Асо» жанартауы оянды Жапонияның Кумамото префектурасында «Асо» жанартауы оянды. Метеорологтар 5 балдық қауіптілік дейгейін 3 балға көтерген. Билік жергілікті тұрғындарды от атқылаған тауға жақын келмеуге шақырды. Жанартау күлі көп жерге шашырап, жақын маңдағы теміржол қатынасын тоқтатып тастаған. Бұдан басқа, 30 мың үй жарықсыз қалды. Қирандылар мен зардап шеккендер туралы ақпарат жоқ.",0
"Николай Валуев: Сайлаушылардың белсенділігі әдеттегідей аса жоғары «Біз барлығымыз Қазақстанды жақсы көреміз. Өткен жылы мен Президент сайлауына келген болатынмын. Өткен жылы біз бір күнде 850 шақырым жүріп өттік. Жеті учаскеде дауыс беру барысын бақыладық. Биыл да әдеттегідей таңертеңнен бастап халық көп келіп жатыр. Сайлаушылардың белсенділігі аса жоғары», - деді тілшілерге Н.Валуев. «Біз болған учаскеде сайлаушылардың үштен бірі өз таңдауын жасап үлгерді. Сайлау ұйымдасқан түрде, тыныш өтіп жатыр. Осыған дейінгі учаскеде бір бұзушылық тіркелді, бірақ бұл тіркелген бір жағдай ғана», - деп жеткізді ол. Айта кетсек, қазақстандықтар бүгін, 20 наурыз күні республика бойынша 9840 сайлау учаскесінде жергілікті уақыт бойынша сағат 7.00-ден 20.00-ге дейін дауыс береді. Сайлау барысын 817 халықаралық бақылаушы бақылап, 147 шетелдік БАҚ өкілі ақпарат таратып жатыр. Фото:xsport.ua Больше новостей в Telegram-канале «zakon.kz» . Подписывайся!",0
"Әлем чемпионаты: Элизабет Тұрсынбаева 11-орынға жайғасты Италияның Милан қаласында мәнерлеп сырғанаудан әлем чемпионаты аяқталды. Қоссайыстың (қысқа және еркін бағдарлама) қорытындысы бойынша 223.23 ұпай жинаған канадалық Кейтлин Осмонд жеңімпаз атанды. Күміс жүлде жапониялық Вакаба Хигутиге (210.90) бұйырса, оның отандасы Сатоко Мияхара (210.08) үздік үштікті қорытындылады. Отандасымыз Элизабет Тұрсынбаева 186.85 ұпаймен 11-орында жайғасты.",0
"Жаш окумуштуулардын ойлоп табуулары Казакстандын жаш окумуштуулары ичүүчү суунун коопсуздугун камсыз кылууга олуттуу салым кошууда. Куржунга батып кете турган бул жабдуу күнүнө 50 литр сууну тазартууга жөндөмдүү. Ал эми бир үлгүсүнө чыпка жаргакчасы орнотулган. Муну алып жүрүү ыңгайлуу. Типтүү лаборотория же өндүрүштүк көлөмдө сууну алып жүрүүгө жарамдуу. Азырынча өлкөдө үлгүлөрү жок уникалдуу технологиялык долбоорлор ата мекендик жана евразиялык патентке ээ. НУРХАТ ЖАКИЕВ, ЖАШ ОКУМУШТУУ: - Тек сууну гана тазартуу эмес, ошону менен катар башка да суюктуктарды тазартууга болот. Алдыда суюк негизде иш жасаган аккумуляторду жасоого мүмкүндүк берет. Дары-дармек колдонуу чөйрөсү кенен болот. Акустикалык толкундардын жардамы менен сууну чыпкадан өткөрүүнү өздөштүрүүдөбүз. АРМАН ЕСЖАНОВ, ЖАШ ОКУМУШТУУ: - Наносенсордук түзмөктү кураштырып жатабыз. Ал азыркы изилденип жаткан талдоо үстүндөгү долбоор. Бул сенсорлор аркылуу биз суунун курамындагы өтө төмөн металдарды аныктап, суюктукту татаал ыкма менен тазарта алабыз. Казакстандык жаш окумуштуулардын ойлоп табуулары дүйнөлүк деңгээлде таанылат. Жакында Назарбаев университетинин студенттери кураштырган скутер Барселона шаарында өткөн эл аралык сынакта мыкты деп табылды. Салттуу турнирде дүйнөнүн ар кайсы өлкөлөрүнөн келген жаш инженерлердин жөндөмү талдоого алынат. Сынакка катышкан ата мекендик 150 ваттык акуммулятору менен электр скутер 20 чакырым жолду кыскарта алат. Ал сынактын башка талаптарына да шайкеш келди. Учурда долбоор жакшыртылып жатат. ЕРСУЛТАН БАЙМУХАН, НАЗАРБАЕВ УНИВЕРСИТЕТИНИН СТУДЕНТИ: - Бул скутердин эргономикасы текшерилди. Ошондой эле скутер жаанда дагы сындан өттү, талап боюнча мүнөт чыдоо керек эле. Кыймылдаткыч жөндөмдөрү текшерилет. Ы лдамдыгы жана канча чакырым жүрө алат. Муну менен катар бурулуш ыкымы текшерилди. Ошол тесттердин корутундусу боюнча биз биринчи орунду багындырдык. МАКСАТ АНУАРБЕК, НАЗАРБАЕВ УНИВЕРСИТЕТИНИН СТУДЕНТИ: - Биздин скутердин смартфонго арналган программасы бар. Программа аркылуу колдонуучу тек өзү кире алат. Жаңы блютуз аркылуу сыр сөзүн жазып гана скутерге кошулуп жүрө алат. Аны башка адамдар жүргүзө албайт. Өлкөдө акыркы жылдары бир катар дымактуу жаш топтордун биргелешкен жабдууларды иштеп чыгуу аракеттери байкалууда. Чыгармачыл жаштардын топтук иши жана демилгелери өкмөт тарабынан чоң колдоого ээ. Бүгүнкү күндө Казакстандагы окумуштуулардын 40% ын жаштар түзөт. Автор: Женис Ермуканов Фото: heinnie.com Subscribe for our daily news",0
"Елбасы ҚР Парламенті Сенатына Қ.Қожамжаровтың кандидатурасын Бас прокурор лауазымына ұсынды Мемлекет басшысының Жарлығымен Қайрат Пернешұлы Қожамжаров Қазақстан Республикасының Бас прокуроры болып тағайындалды, ол Қазақстан Республикасының Мемлекеттік қызмет істері және сыбайлас жемқорлыққа қарсы іс-қимыл агенттігінің төрағасы қызметінен босатылды. Мемлекет басшысының Жарлығымен Жақып Қажманұлы Асанов басқа жұмысқа ауысуына байланысты Қазақстан Республикасының Бас прокуроры қызметінен босатылды . Бұл туралы Ақорданың баспасөз қызметі хабарлады.",0
Футбол. Турнир «Жастар» проходит в Шымкенте Футбол. Турнир «Жастар» проходит в Шымкенте В Шымкенте проходит футбольный турнир «Жастар» среди молодежных команд клубов Премьер-Лиги 1996 г.р.В соревнованиях участвуют. следующие команды:I — подгруппа«Сункар ««Кайрат ««Астана»«Жетысу»«Каспий»«Ордабасы»«Атырау»«Окжетпес»II — подгруппа«Акжайык»«Кайсар»«Шахтер»«Тобол»«СДЮСШ № 7»«Актобе»«Тараз»«Иртыш»Результаты игр первых 4 туров:11.03.2012 г. I-турI — подгруппа II- подгруппа1.10–00 Кайрат — Атырау 4–0 5.10–00 Акжайык — Иртыш 2–12.12–00 Сункар — Окжетпес 6–0 6.12–00 Кайсар — Тараз 0–53.14–00 Астана — Ордабасы 0–2 7.14–00 Шахтер — Актобе 3–34.16–00 Жетысу — Каспий 1–2 8.16–00 Тобол — СДЮСШ № 7 2–1 12.03.2012 г. II-турI — подгруппа II — подгруппа9.10–00 Ордабасы — Жетысу 3–2 13.10–00 Актобе — Тобол 6–110.12–00 Окжетпес — Каспий 1–5 14.12–00 Иртыш — СДЮСШ№ 7 3–011.14–00 Атырау — Астана 1–2 15.14–00 Тараз — Шахтер 0–112.16–00 Сункар — Кайрат 0–4 16.16–00 Акжайык — Кайсар 3–113.03.2012 г. III-турI — подгруппа II — подгруппа17.10–00 Кайрат — Окжетпес 3–2 21.10–00 Кайсар — Иртыш 1–418.12–00 Астана — Сункар 1–1 22.12–00 Шахтер — Акжайык 0–019.14–00 Жетысу — Атырау 4–2 23.14–00 Тобол — Тараз 1–020.16–00 Каспий — Ордабасы 2–3 24.16–00 СДЮСШ№ 7 — Актобе 1–3 15.03.2012 г. IV-турI — подгруппа II — подгруппа25.10–00 Окжетпес — Ордабасы 1–11 29.10–00 Иртыш — Актобе 0–526.12–00 Атырау — Каспий 0–3 30.12–00 Тараз — СДЮСШ№ 7 1–027.14–00 Сункар — Жетысу 5–1 31.14–00 Акжайык — Тобол 0–128.16–00 Кайрат — Астана 4–0 32.16–00 Кайсар — Шахтер 0–1,0
